****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        DO
      Step (FluxAvg)       (m)       (m)       (m)       (m)    (mg/L)
       301   179.760     7.457     7.526     2.135    -2.169     7.967
       302   179.964     7.487     7.543     2.136    -2.161     7.967
       303   180.160     7.517     7.559     2.138    -2.152     7.967
       304   180.349     7.546     7.574     2.140    -2.144     7.967
       305   180.530     7.575     7.590     2.141    -2.136     7.967
       306   180.705     7.603     7.605     2.143    -2.129     7.967
       307   180.874     7.631     7.621     2.144    -2.121     7.967
       308   181.036     7.658     7.636     2.146    -2.114     7.967
       309   181.193     7.685     7.651     2.147    -2.107     7.967
       310   181.344     7.711     7.665     2.149    -2.100     7.967
       311   181.489     7.737     7.680     2.150    -2.094     7.967
       312   181.630     7.762     7.694     2.152    -2.087     7.967
       313   181.765     7.787     7.709     2.153    -2.081     7.967
       314   181.896     7.812     7.723     2.154    -2.075     7.967
       315   182.023     7.836     7.737     2.156    -2.069     7.967
       316   182.145     7.860     7.751     2.157    -2.063     7.967
       317   182.262     7.883     7.765     2.159    -2.058     7.967
       318   182.376     7.906     7.778     2.160    -2.053     7.967
       319   182.486     7.928     7.792     2.161    -2.047     7.967
       320   182.592     7.950     7.805     2.163    -2.042     7.967
       321   182.695     7.972     7.819     2.164    -2.037     7.967
       322   182.794     7.993     7.832     2.165    -2.033     7.967
       323   182.890     8.014     7.845     2.166    -2.028     7.967
       324   182.982     8.034     7.858     2.168    -2.023     7.967
       325   183.072     8.054     7.871     2.169    -2.019     7.967
       326   183.158     8.073     7.884     2.170    -2.015     7.967
       327   183.242     8.092     7.897     2.172    -2.011     7.967
       328   183.322     8.111     7.909     2.173    -2.007     7.967
       329   183.400     8.129     7.922     2.174    -2.003     7.967
       330   183.475     8.147     7.935     2.175    -1.999     7.967
       331   183.548     8.164     7.947     2.177    -1.996     7.967
       332   183.618     8.181     7.959     2.178    -1.992     7.967
       333   183.686     8.198     7.972     2.179    -1.989     7.967
       334   183.751     8.214     7.984     2.180    -1.985     7.967
       335   183.815     8.230     7.996     2.181    -1.982     7.967
       336   183.876     8.245     8.008     2.183    -1.979     7.967
       337   183.935     8.260     8.020     2.184    -1.976     7.967
       338   183.992     8.274     8.032     2.185    -1.973     7.967
       339   184.047     8.288     8.044     2.186    -1.971     7.967
       340   184.100     8.302     8.056     2.187    -1.968     7.967
       341   184.151     8.315     8.068     2.188    -1.965     7.967
       342   184.201     8.328     8.080     2.190    -1.963     7.967
       343   184.248     8.341     8.092     2.191    -1.961     7.967
       344   184.294     8.353     8.103     2.192    -1.958     7.967
       345   184.337     8.364     8.115     2.193    -1.956     7.967
       346   184.379     8.376     8.127     2.194    -1.954     7.967
       347   184.420     8.386     8.138     2.195    -1.952     7.967
       348   184.458     8.397     8.150     2.196    -1.950     7.967
       349   184.495     8.407     8.162     2.198    -1.948     7.967
       350   184.531     8.416     8.173     2.199    -1.947     7.967
       351   184.564     8.426     8.185     2.200    -1.945     7.967
       352   184.597     8.434     8.196     2.201    -1.943     7.967
       353   184.627     8.443     8.208     2.202    -1.942     7.967
       354   184.656     8.451     8.219     2.203    -1.941     7.967
       355   184.684     8.458     8.231     2.204    -1.939     7.967
       356   184.710     8.466     8.242     2.205    -1.938     7.967
       357   184.734     8.472     8.254     2.207    -1.937     7.967
       358   184.757     8.479     8.265     2.208    -1.936     7.967
       359   184.779     8.485     8.276     2.209    -1.935     7.967
       360   184.799     8.490     8.288     2.210    -1.934     7.967
       361   184.817     8.495     8.299     2.211    -1.933     7.967
       362   184.834     8.500     8.310     2.212    -1.932     7.967
       363   184.850     8.504     8.322     2.213    -1.932     7.967
       364   184.865     8.508     8.333     2.214    -1.931     7.967
       365   184.878     8.512     8.344     2.215    -1.931     7.967
       366   184.889     8.515     8.355     2.217    -1.930     7.967
       367   184.899     8.517     8.367     2.218    -1.930     7.967
       368   184.908     8.520     8.378     2.219    -1.930     7.967
       369   184.915     8.522     8.389     2.220    -1.930     7.967
       370   184.921     8.523     8.401     2.221    -1.930     7.967
       371   184.926     8.524     8.412     2.222    -1.930     7.967
---------------------- Local maximum rise or fall --------------------
       372   184.929     8.525     8.423     2.223    -1.930     7.967
       373   184.932     8.525     8.434     2.224    -1.930     7.967
       374   184.934     8.525     8.446     2.225    -1.930     7.967
       375   184.935     8.524     8.457     2.226    -1.930     7.967
       376   184.937     8.523     8.468     2.228    -1.931     7.967
       377   184.940     8.522     8.479     2.229    -1.931     7.967
       378   184.942     8.521     8.491     2.230    -1.932     7.967
       379   184.945     8.519     8.502     2.231    -1.932     7.967
       380   184.949     8.516     8.513     2.232    -1.933     7.967
       381   184.953     8.514     8.525     2.233    -1.934     7.967
       382   184.957     8.511     8.536     2.234    -1.935     7.967
       383   184.961     8.508     8.547     2.235    -1.936     7.967
       384   184.966     8.504     8.559     2.236    -1.937     7.967
       385   184.972     8.500     8.570     2.238    -1.938     7.967
       386   184.977     8.496     8.581     2.239    -1.939     7.968
       387   184.984     8.491     8.593     2.240    -1.940     7.968
       388   184.990     8.486     8.604     2.241    -1.942     7.968
       389   184.997     8.481     8.616     2.242    -1.943     7.968
       390   185.005     8.475     8.627     2.243    -1.945     7.968
       391   185.012     8.469     8.639     2.244    -1.946     7.968
       392   185.021     8.463     8.650     2.245    -1.948     7.968
       393   185.029     8.457     8.662     2.247    -1.950     7.968
       394   185.038     8.450     8.673     2.248    -1.952     7.968
       395   185.048     8.442     8.685     2.249    -1.954     7.968
       396   185.058     8.435     8.697     2.250    -1.956     7.968
       397   185.069     8.427     8.708     2.251    -1.958     7.968
       398   185.080     8.419     8.720     2.252    -1.960     7.968
       399   185.092     8.410     8.732     2.253    -1.962     7.968
       400   185.104     8.401     8.744     2.255    -1.965     7.968
       401   185.117     8.392     8.756     2.256    -1.967     7.968
       402   185.130     8.382     8.768     2.257    -1.970     7.968
       403   185.144     8.373     8.780     2.258    -1.973     7.968
       404   185.159     8.362     8.792     2.259    -1.976     7.968
       405   185.174     8.352     8.804     2.260    -1.978     7.968
       406   185.190     8.341     8.816     2.262    -1.981     7.968
       407   185.207     8.330     8.828     2.263    -1.985     7.968
       408   185.224     8.319     8.840     2.264    -1.988     7.968
       409   185.242     8.307     8.853     2.265    -1.991     7.968
       410   185.261     8.295     8.865     2.266    -1.995     7.968
       411   185.281     8.283     8.878     2.268    -1.998     7.968
       412   185.302     8.270     8.890     2.269    -2.002     7.968
       413   185.323     8.257     8.903     2.270    -2.006     7.968
       414   185.345     8.244     8.916     2.271    -2.010     7.968
       415   185.369     8.230     8.928     2.273    -2.014     7.968
       416   185.393     8.216     8.941     2.274    -2.018     7.968
       417   185.418     8.202     8.954     2.275    -2.022     7.968
       418   185.445     8.188     8.967     2.276    -2.027     7.968
       419   185.473     8.173     8.981     2.278    -2.031     7.968
       420   185.502     8.158     8.994     2.279    -2.036     7.968
       421   185.533     8.143     9.007     2.280    -2.041     7.968
       422   185.564     8.128     9.021     2.282    -2.046     7.968
       423   185.598     8.112     9.035     2.283    -2.051     7.968
       424   185.633     8.096     9.049     2.284    -2.057     7.968
       425   185.669     8.080     9.063     2.286    -2.062     7.968
       426   185.708     8.063     9.077     2.287    -2.068     7.968
       427   185.748     8.046     9.091     2.288    -2.074     7.968
       428   185.790     8.029     9.106     2.290    -2.080     7.968
       429   185.835     8.012     9.120     2.291    -2.086     7.968
       430   185.881     7.995     9.135     2.293    -2.093     7.968
       431   185.930     7.977     9.150     2.294    -2.100     7.968
       432   185.981     7.959     9.166     2.296    -2.107     7.968
       433   186.035     7.941     9.181     2.297    -2.114     7.968
       434   186.092     7.923     9.197     2.299    -2.121     7.968
       435   186.152     7.904     9.213     2.300    -2.129     7.968
       436   186.216     7.885     9.229     2.302    -2.137     7.968
       437   186.282     7.866     9.245     2.303    -2.145     7.968
       438   186.353     7.847     9.262     2.305    -2.153     7.968
       439   186.427     7.828     9.279     2.307    -2.162     7.968
       440   186.506     7.809     9.296     2.308    -2.171     7.968
       441   186.589     7.789     9.313     2.310    -2.180     7.968
       442   186.678     7.769     9.331     2.312    -2.190     7.968
       443   186.772     7.750     9.349     2.313    -2.200     7.968
